id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
HMGB1_choSartG00000064735	6	2.2558e-09	2.7538e-07	5.1e-05	14	6	-2.0869	1.0	1.0	1.0	17965	0	-2.0869
HMGB1_choSartG00000064730	6	2.2558e-09	2.7538e-07	5.1e-05	15	6	-2.0869	1.0	1.0	1.0	17966	0	-2.0869
WDR82_choSartG00000024186	6	2.311e-09	2.7538e-07	5.1e-05	16	6	-2.4669	1.0	1.0	1.0	17964	0	-2.4669
CgPICR_021337_choSartG00000055867	6	2.3672e-09	2.7538e-07	5.1e-05	17	6	-2.3676	1.0	1.0	1.0	17963	0	-2.3676
PSMB3_choSartG00000040875	6	2.6856e-09	2.7538e-07	5.1e-05	18	6	-1.951	1.0	1.0	1.0	17962	0	-1.951
KIF11_choSartG00000067638	6	3.0784e-09	2.7538e-07	5.1e-05	19	6	-2.0964	1.0	1.0	1.0	17960	0	-2.0964
ATP6V0C_choSartG00000037888	6	3.3581e-09	2.7538e-07	5.1e-05	20	6	-2.2921	1.0	1.0	1.0	17959	0	-2.2921
PSMB4_choSartG00000052213	6	3.4983e-09	2.7538e-07	5.1e-05	21	6	-2.4132	1.0	1.0	1.0	17958	0	-2.4132
RPL18_choSartG00000036422	6	3.5928e-09	2.7538e-07	5.1e-05	22	6	-2.1737	1.0	1.0	1.0	17957	0	-2.1737
CHTOP_choSartG00000046148	5	3.6094e-09	2.7538e-07	5.1e-05	23	5	-2.5063	1.0	1.0	1.0	17956	0	-2.5063
DPAGT1_choSartG00000022600	6	3.6842e-09	2.7538e-07	5.1e-05	24	6	-2.0074	1.0	1.0	1.0	17955	0	-2.0074
NA_choSartG00000013459	6	4.2054e-09	2.7538e-07	5.1e-05	25	6	-2.7677	1.0	1.0	1.0	17954	0	-2.7677
ATP1B3_choSartG00000023891	6	5.398e-09	2.7538e-07	5.1e-05	26	6	-2.4324	1.0	1.0	1.0	17953	0	-2.4324
GNB2L1_choSartG00000038411	6	6.6054e-09	2.7538e-07	5.1e-05	27	6	-2.5936	1.0	1.0	1.0	17952	0	-2.5936
EEF1A1_choSartG00000019372	6	7.0078e-09	2.7538e-07	5.1e-05	28	6	-2.1182	1.0	1.0	1.0	17951	0	-2.1182
CgPICR_022880_choSartG00000067626	6	7.3296e-09	2.7538e-07	5.1e-05	29	6	-2.4648	1.0	1.0	1.0	17950	0	-2.4648
NA_choSartG00000036731	6	8.4224e-09	2.7538e-07	5.1e-05	30	6	-2.3372	1.0	1.0	1.0	17812	0	-2.3372
ZC3HAV1_choSartG00000052951	6	8.5444e-09	2.7538e-07	5.1e-05	31	6	-2.0027	1.0	1.0	1.0	17949	0	-2.0027
NA_choSartG00000026485	6	9.306e-09	2.7538e-07	5.1e-05	32	6	-2.3247	1.0	1.0	1.0	17948	0	-2.3247
NA_choSartG00000015109	6	9.3841e-09	2.7538e-07	5.1e-05	33	6	-1.6333	1.0	1.0	1.0	17947	0	-1.6333
RPF2_choSartG00000065528	6	9.7479e-09	2.7538e-07	5.1e-05	34	6	-2.1263	1.0	1.0	1.0	17946	0	-2.1263
NA_choSartG00000054658	6	1.2117e-08	2.7538e-07	5.1e-05	35	6	-2.6183	1.0	1.0	1.0	17945	0	-2.6183
NA_choSartG00000056014	5	1.3188e-08	2.7538e-07	5.1e-05	36	5	-2.3235	1.0	1.0	1.0	17944	0	-2.3235
CgPICR_011333_choSartG00000043503	6	1.3433e-08	2.7538e-07	5.1e-05	37	6	-1.9022	1.0	1.0	1.0	17943	0	-1.9022
SMAD1_choSartG00000065968	6	1.3539e-08	2.7538e-07	5.1e-05	38	6	-1.695	1.0	1.0	1.0	17942	0	-1.695
NA_choSartG00000054804	6	1.3666e-08	2.7538e-07	5.1e-05	39	6	-2.4683	1.0	1.0	1.0	17681	0	-2.4683
CgPICR_014398_choSartG00000052228	6	1.4158e-08	2.7538e-07	5.1e-05	40	6	-1.8862	1.0	1.0	1.0	17941	0	-1.8862
CDC45_choSartG00000019406	6	1.9412e-08	2.7538e-07	5.1e-05	41	6	-1.8457	1.0	1.0	1.0	17940	0	-1.8457
CRNKL1_choSartG00000032428	6	1.9722e-08	2.7538e-07	5.1e-05	42	6	-2.1079	1.0	1.0	1.0	17939	0	-2.1079
NA_choSartG00000024955	6	2.0014e-08	2.7538e-07	5.1e-05	43	6	-2.7	1.0	1.0	1.0	17938	0	-2.7
NA_choSartG00000016463	6	2.0267e-08	2.7538e-07	5.1e-05	44	5	-2.3275	0.9999	0.99991	1.0	17132	0	-2.3275
NA_choSartG00000065046	6	2.0593e-08	2.7538e-07	5.1e-05	45	6	-2.3968	0.99999	1.0	1.0	17599	0	-2.3968
RPL11_choSartG00000001112	6	2.0654e-08	2.7538e-07	5.1e-05	46	6	-2.0464	1.0	1.0	1.0	17937	0	-2.0464
POLR2I_choSartG00000065863	6	2.178e-08	2.7538e-07	5.1e-05	47	6	-2.2869	1.0	1.0	1.0	17936	0	-2.2869
PRPF19_choSartG00000010540	6	2.187e-08	2.7538e-07	5.1e-05	48	6	-2.2016	1.0	1.0	1.0	17935	0	-2.2016
GRWD1_choSartG00000036434	6	2.4985e-08	2.7538e-07	5.1e-05	49	6	-2.0071	1.0	1.0	1.0	17934	0	-2.0071
MTOR_choSartG00000000533	6	2.5598e-08	2.7538e-07	5.1e-05	50	6	-1.8077	1.0	1.0	1.0	17933	0	-1.8077
NA_choSartG00000040109	6	2.5624e-08	2.7538e-07	5.1e-05	51	6	-2.5812	1.0	1.0	1.0	17932	0	-2.5812
SREBF2_choSartG00000007231	6	2.7052e-08	2.7538e-07	5.1e-05	52	6	-1.995	1.0	1.0	1.0	17931	0	-1.995
PSMD8_choSartG00000045850	6	2.7351e-08	2.7538e-07	5.1e-05	53	6	-2.0448	1.0	1.0	1.0	17930	0	-2.0448
NA_choSartG00000039115	6	2.757e-08	2.7538e-07	5.1e-05	54	6	-1.4906	1.0	1.0	1.0	17929	0	-1.4906
NA_choSartG00000071688	6	2.7625e-08	2.7538e-07	5.1e-05	55	6	-2.1948	1.0	1.0	1.0	17928	0	-2.1948
BUB3_choSartG00000011610	6	2.8536e-08	2.7538e-07	5.1e-05	56	5	-2.1101	0.99995	0.99995	1.0	17247	0	-2.1101
NA_choSartG00000037052	4	3.2107e-08	2.7538e-07	5.1e-05	57	4	-2.8292	1.0	1.0	1.0	17927	0	-2.8292
PRPF38B_choSartG00000051577	6	3.3801e-08	2.7538e-07	5.1e-05	58	6	-1.9151	1.0	1.0	1.0	17926	0	-1.9151
BIRC5_choSartG00000041898	6	3.4292e-08	2.7538e-07	5.1e-05	59	6	-2.0866	1.0	1.0	1.0	17925	0	-2.0866
RALGDS_choSartG00000014461	6	3.4358e-08	2.7538e-07	5.1e-05	60	6	-2.2517	1.0	1.0	1.0	17924	0	-2.2517
YARS_choSartG00000001600	6	3.6839e-08	2.7538e-07	5.1e-05	61	6	-1.6985	1.0	1.0	1.0	17923	0	-1.6985
HOXB9_choSartG00000065934	6	3.8368e-08	2.7538e-07	5.1e-05	62	6	-2.6683	1.0	1.0	1.0	17921	0	-2.6683
HOXB9_choSartG00000069673	6	3.8368e-08	2.7538e-07	5.1e-05	63	6	-2.6683	1.0	1.0	1.0	17920	0	-2.6683
HOXB9_choSartG00000067540	6	3.8368e-08	2.7538e-07	5.1e-05	64	6	-2.6683	1.0	1.0	1.0	17922	0	-2.6683
ATP5B_choSartG00000053829	6	3.9727e-08	2.7538e-07	5.1e-05	65	6	-1.9225	1.0	1.0	1.0	17919	0	-1.9225
RABGGTB_choSartG00000068663	6	4.0251e-08	2.7538e-07	5.1e-05	66	6	-2.2492	1.0	1.0	1.0	17918	0	-2.2492
HSPA5_choSartG00000036051	6	4.2054e-08	2.7538e-07	5.1e-05	67	6	-1.825	1.0	1.0	1.0	17917	0	-1.825
PPP1R8_choSartG00000001357	6	4.2801e-08	2.7538e-07	5.1e-05	68	6	-1.765	1.0	1.0	1.0	17916	0	-1.765
MRPL4_choSartG00000072148	6	4.7221e-08	2.7538e-07	5.1e-05	69	6	-1.8714	1.0	1.0	1.0	17915	0	-1.8714
ANAPC10_choSartG00000014212	6	4.7609e-08	2.7538e-07	5.1e-05	70	6	-2.2522	1.0	1.0	1.0	17914	0	-2.2522
RPL27_choSartG00000039779	6	4.8044e-08	2.7538e-07	5.1e-05	71	6	-2.032	1.0	1.0	1.0	17913	0	-2.032
LUC7L3_choSartG00000040589	6	4.9547e-08	2.7538e-07	5.1e-05	72	6	-1.7925	1.0	1.0	1.0	17912	0	-1.7925
CgPICR_018294_choSartG00000043588	6	5.1504e-08	2.7538e-07	5.1e-05	73	6	-2.2207	1.0	1.0	1.0	17911	0	-2.2207
PCYT2_choSartG00000042138	6	5.3429e-08	2.7538e-07	5.1e-05	74	6	-1.7661	1.0	1.0	1.0	17910	0	-1.7661
NA_choSartG00000014118	6	5.4274e-08	2.7538e-07	5.1e-05	75	5	-2.1606	0.012341	0.032033	0.633908	913	1	-2.1606
NAA15_choSartG00000053243	6	5.5169e-08	2.7538e-07	5.1e-05	76	6	-1.7883	1.0	1.0	1.0	17909	0	-1.7883
TBL3_choSartG00000037947	6	5.6554e-08	2.7538e-07	5.1e-05	77	6	-1.4394	1.0	1.0	1.0	17908	0	-1.4394
CDK12_choSartG00000040915	6	5.6755e-08	2.7538e-07	5.1e-05	78	6	-1.8101	1.0	1.0	1.0	17907	0	-1.8101
NA_choSartG00000066241	6	5.8173e-08	2.7538e-07	5.1e-05	79	6	-2.8578	1.0	1.0	1.0	17891	0	-2.8578
COX6C2_choSartG00000047122	6	6.0312e-08	2.7538e-07	5.1e-05	80	6	-2.5075	1.0	1.0	1.0	17900	0	-2.5075
OPA1_choSartG00000019045	6	6.4035e-08	2.7538e-07	5.1e-05	81	6	-1.9068	1.0	1.0	1.0	17906	0	-1.9068
HCFC1_choSartG00000047779	6	6.6342e-08	2.7538e-07	5.1e-05	82	6	-1.7321	1.0	1.0	1.0	17905	0	-1.7321
EIF1AD_choSartG00000010909	6	6.6758e-08	2.7538e-07	5.1e-05	83	6	-1.8831	1.0	1.0	1.0	17788	0	-1.8831
NA_choSartG00000067603	6	6.8182e-08	2.7538e-07	5.1e-05	84	5	-2.3826	0.99956	0.99956	1.0	16763	0	-2.3826
RAD51_choSartG00000033382	6	6.8249e-08	2.7538e-07	5.1e-05	85	6	-2.0626	1.0	1.0	1.0	17904	0	-2.0626
NA_choSartG00000049865	6	6.908e-08	2.7538e-07	5.1e-05	86	6	-2.6499	1.0	1.0	1.0	17701	0	-2.6499
CAD_choSartG00000036874	6	7.0202e-08	2.7538e-07	5.1e-05	87	6	-1.9039	1.0	1.0	1.0	17903	0	-1.9039
NA_choSartG00000005829	6	7.1104e-08	2.7538e-07	5.1e-05	88	6	-2.5724	1.0	1.0	1.0	17902	0	-2.5724
PSMD12_choSartG00000041402	6	7.1407e-08	2.7538e-07	5.1e-05	89	6	-1.6742	1.0	1.0	1.0	17901	0	-1.6742
PSMB1_choSartG00000005439	6	7.2323e-08	2.7538e-07	5.1e-05	90	6	-2.1109	1.0	1.0	1.0	17899	0	-2.1109
TUBG2_choSartG00000039745	6	7.5672e-08	2.7538e-07	5.1e-05	91	6	-1.9265	1.0	1.0	1.0	17733	0	-1.9265
CgPICR_009874_choSartG00000016377	6	7.5998e-08	2.7538e-07	5.1e-05	92	6	-2.5299	1.0	1.0	1.0	17792	0	-2.5299
CgPICR_009874_choSartG00000016374	6	7.5998e-08	2.7538e-07	5.1e-05	93	6	-2.5299	1.0	1.0	1.0	17793	0	-2.5299
YARS2_choSartG00000019576	6	7.7246e-08	2.7538e-07	5.1e-05	94	6	-2.2299	0.99998	0.99997	1.0	17385	0	-2.2299
MRPS34_choSartG00000037967	6	7.925e-08	2.7538e-07	5.1e-05	95	5	-2.0211	0.99996	0.99996	1.0	17285	0	-2.0211
RPL30_choSartG00000047167	6	7.9407e-08	2.7538e-07	5.1e-05	96	6	-2.1036	1.0	1.0	1.0	17898	0	-2.1036
RPP21_choSartG00000070531	5	7.9751e-08	2.7538e-07	5.1e-05	97	5	-2.3792	1.0	1.0	1.0	17897	0	-2.3792
NA_choSartG00000072082	6	8.2766e-08	8.2614e-07	0.000122	98	5	-2.5032	0.99807	0.99803	1.0	16358	0	-2.5032
MRPL43_choSartG00000068214	6	8.292e-08	8.2614e-07	0.000122	99	6	-2.158	1.0	1.0	1.0	17896	0	-2.158
DBX2_choSartG00000068621	6	8.3679e-08	8.2614e-07	0.000122	100	6	-1.7838	1.0	1.0	1.0	17895	0	-1.7838
POLR2B_choSartG00000061120	6	8.4724e-08	8.2614e-07	0.000122	101	6	-1.8958	1.0	1.0	1.0	17894	0	-1.8958
PPIA_choSartG00000032982	6	8.4798e-08	8.2614e-07	0.000122	102	5	-1.9889	0.046895	0.089398	0.853483	1896	1	-1.9889
ACACB_choSartG00000040255	6	9.4243e-08	8.2614e-07	0.000122	103	6	-2.0016	1.0	1.0	1.0	17893	0	-2.0016
CgPICR_018701_choSartG00000040949	6	9.8134e-08	8.2614e-07	0.000122	104	6	-2.0939	1.0	1.0	1.0	17892	0	-2.0939
NA_choSartG00000003497	6	1.0517e-07	8.2614e-07	0.000122	105	6	-2.3041	1.0	1.0	1.0	17674	0	-2.3041
PSMD11_choSartG00000040113	6	1.0683e-07	8.2614e-07	0.000122	106	6	-2.2265	1.0	1.0	1.0	17890	0	-2.2265
RPL12_choSartG00000035855	6	1.0705e-07	8.2614e-07	0.000122	107	6	-1.905	1.0	1.0	1.0	17734	0	-1.905
SUPV3L1_choSartG00000057965	6	1.1176e-07	8.2614e-07	0.000122	108	6	-1.7012	1.0	1.0	1.0	17889	0	-1.7012
RPS8_choSartG00000002198	6	1.1488e-07	8.2614e-07	0.000122	109	6	-1.5896	1.0	1.0	1.0	17888	0	-1.5896
CgPICR_009350_choSartG00000013261	6	1.1543e-07	8.2614e-07	0.000122	110	6	-1.6375	1.0	1.0	1.0	17887	0	-1.6375
POLRMT_choSartG00000028297	6	1.1835e-07	8.2614e-07	0.000122	111	6	-1.7288	1.0	1.0	1.0	17886	0	-1.7288
UBL4A_choSartG00000043656	6	1.1928e-07	8.2614e-07	0.000122	112	6	-1.4616	1.0	1.0	1.0	17885	0	-1.4616
KIF11_choSartG00000067629	6	1.2435e-07	8.2614e-07	0.000122	113	6	-2.0717	1.0	1.0	1.0	17883	0	-2.0717
CgPICR_022880_choSartG00000056349	6	1.2435e-07	8.2614e-07	0.000122	114	6	-2.0717	1.0	1.0	1.0	17884	0	-2.0717
NOL10_choSartG00000037218	6	1.2585e-07	8.2614e-07	0.000122	115	6	-1.3808	1.0	1.0	1.0	17882	0	-1.3808
CgPICR_011969_choSartG00000042023	6	1.287e-07	8.2614e-07	0.000122	116	6	-1.815	1.0	1.0	1.0	17881	0	-1.815
NPEPPS_choSartG00000040827	6	1.289e-07	8.2614e-07	0.000122	117	6	-1.7816	1.0	1.0	1.0	17880	0	-1.7816
KARS_choSartG00000015343	6	1.305e-07	8.2614e-07	0.000122	118	6	-2.0687	1.0	1.0	1.0	17879	0	-2.0687
BUB1B_choSartG00000033421	6	1.309e-07	8.2614e-07	0.000122	119	6	-1.94	1.0	1.0	1.0	17878	0	-1.94
RPS14_choSartG00000003929	6	1.3189e-07	8.2614e-07	0.000122	120	5	-2.0254	0.99428	0.99427	1.0	15919	0	-2.0254
EIF2B5_choSartG00000019284	6	1.3884e-07	8.2614e-07	0.000122	121	6	-1.6841	1.0	1.0	1.0	17877	0	-1.6841
CgPICR_012349_choSartG00000035287	6	1.4334e-07	1.1015e-06	0.000161	122	6	-1.6194	1.0	1.0	1.0	17876	0	-1.6194
CDC7_choSartG00000036538	6	1.4874e-07	1.3769e-06	0.000185	123	6	-1.7155	1.0	1.0	1.0	17875	0	-1.7155
SMU1_choSartG00000071258	6	1.5339e-07	1.3769e-06	0.000185	124	6	-2.0581	1.0	1.0	1.0	17874	0	-2.0581
CgPICR_014528_choSartG00000051871	6	1.5385e-07	1.3769e-06	0.000185	125	6	-1.983	1.0	1.0	1.0	17873	0	-1.983
MRPS16_choSartG00000066151	6	1.5574e-07	1.3769e-06	0.000185	126	6	-1.9615	1.0	1.0	1.0	17828	0	-1.9615
RPS2_choSartG00000065631	6	1.5733e-07	1.3769e-06	0.000185	127	6	-1.6708	1.0	1.0	1.0	17872	0	-1.6708
NA_choSartG00000002776	6	1.5861e-07	1.3769e-06	0.000185	128	5	-2.4375	0.99983	0.99983	1.0	17010	0	-2.4375
MRPL41_choSartG00000035268	6	1.6161e-07	1.3769e-06	0.000185	129	6	-1.7598	0.99999	0.99999	1.0	17481	0	-1.7598
CUL3_choSartG00000008861	6	1.6487e-07	1.3769e-06	0.000185	130	6	-1.6307	1.0	1.0	1.0	17871	0	-1.6307
MYBBP1A_choSartG00000039519	6	1.6536e-07	1.3769e-06	0.000185	131	6	-1.7323	1.0	1.0	1.0	17870	0	-1.7323
CHMP6_choSartG00000042060	6	1.6548e-07	1.3769e-06	0.000185	132	6	-1.4919	1.0	1.0	1.0	17869	0	-1.4919
NA_choSartG00000014876	4	1.6583e-07	2.7538e-07	5.1e-05	133	4	-3.1989	1.0	1.0	1.0	17806	0	-3.1989
EIF3C_choSartG00000011873	6	1.6918e-07	1.3769e-06	0.000185	134	6	-1.7382	1.0	1.0	1.0	17868	0	-1.7382
SBDS_choSartG00000021223	6	1.7566e-07	1.9277e-06	0.000213	135	6	-2.0356	1.0	1.0	1.0	17816	0	-2.0356
CgPICR_009559_choSartG00000010998	6	1.7731e-07	1.9277e-06	0.000213	136	6	-1.6507	1.0	1.0	1.0	17867	0	-1.6507
NA_choSartG00000068581	6	1.8529e-07	1.9277e-06	0.000213	137	6	-2.2245	1.0	1.0	1.0	17662	0	-2.2245
SCAP_choSartG00000024418	6	1.8698e-07	1.9277e-06	0.000213	138	6	-1.8114	1.0	1.0	1.0	17866	0	-1.8114
RPL17_choSartG00000065523	6	1.9681e-07	1.9277e-06	0.000213	139	6	-1.9287	1.0	1.0	1.0	17865	0	-1.9287
ESPL1_choSartG00000007957	6	2.0008e-07	1.9277e-06	0.000213	140	6	-1.6937	1.0	1.0	1.0	17864	0	-1.6937
PSMB5_choSartG00000062794	6	2.0037e-07	1.9277e-06	0.000213	141	6	-2.1828	1.0	1.0	1.0	17863	0	-2.1828
CgPICR_003711_choSartG00000039249	6	2.0166e-07	1.9277e-06	0.000213	142	6	-1.9907	1.0	1.0	1.0	17862	0	-1.9907
PPAN_choSartG00000072132	6	2.0236e-07	1.9277e-06	0.000213	143	5	-1.9095	0.99949	0.99951	1.0	16731	0	-1.9095
TCEB3B_choSartG00000046676	6	2.09e-07	1.9277e-06	0.000213	144	6	-2.5179	0.99999	0.99999	1.0	17579	0	-2.5179
NUP205_choSartG00000055078	6	2.1302e-07	1.9277e-06	0.000213	145	6	-1.604	1.0	1.0	1.0	17861	0	-1.604
RPL32_choSartG00000043416	6	2.303e-07	1.9277e-06	0.000213	146	6	-2.3747	0.99999	0.99999	1.0	17486	0	-2.3747
RPS25_choSartG00000022615	6	2.3445e-07	1.9277e-06	0.000213	147	5	-2.1927	0.99907	0.99908	1.0	16567	0	-2.1927
DDX56_choSartG00000060133	6	2.3604e-07	1.9277e-06	0.000213	148	6	-1.7863	1.0	1.0	1.0	17860	0	-1.7863
PSMC4_choSartG00000067289	6	2.4506e-07	1.9277e-06	0.000213	149	6	-1.9342	1.0	1.0	1.0	17859	0	-1.9342
DCAF13_choSartG00000046935	6	2.4779e-07	1.9277e-06	0.000213	150	6	-1.5294	1.0	1.0	1.0	17858	0	-1.5294
GLRX5_choSartG00000030701	6	2.4813e-07	1.9277e-06	0.000213	151	6	-2.11	1.0	1.0	1.0	17857	0	-2.11
EXOSC8_choSartG00000053141	6	2.5088e-07	1.9277e-06	0.000213	152	6	-1.3444	1.0	1.0	1.0	17856	0	-1.3444
KIAA0100_choSartG00000039981	6	2.5366e-07	1.9277e-06	0.000213	153	6	-1.7338	1.0	1.0	1.0	17855	0	-1.7338
DBR1_choSartG00000024012	6	2.5384e-07	1.9277e-06	0.000213	154	6	-2.0949	1.0	1.0	1.0	17854	0	-2.0949
UBA2_choSartG00000045759	6	2.5419e-07	1.9277e-06	0.000213	155	6	-1.6858	1.0	1.0	1.0	17853	0	-1.6858
NA_choSartG00000042812	6	2.6215e-07	1.9277e-06	0.000213	156	5	-2.0482	0.72708	0.72722	1.0	10891	0	-2.0482
ERAS_choSartG00000067643	6	2.6414e-07	1.9277e-06	0.000213	157	6	-1.7823	1.0	1.0	1.0	17852	0	-1.7823
CgPICR_001962_choSartG00000018441	6	2.6979e-07	1.9277e-06	0.000213	158	6	-2.0649	1.0	1.0	1.0	17851	0	-2.0649
CDK1_choSartG00000057708	6	2.701e-07	1.9277e-06	0.000213	159	6	-1.7126	1.0	1.0	1.0	17752	0	-1.7126
CgPICR_020489_choSartG00000070227	6	2.7626e-07	1.9277e-06	0.000213	160	6	-2.3399	1.0	1.0	1.0	17680	0	-2.3399
OGFR_choSartG00000067503	6	2.8234e-07	1.9277e-06	0.000213	161	6	-2.1022	1.0	1.0	1.0	17850	0	-2.1022
UTP15_choSartG00000005055	6	2.8696e-07	1.9277e-06	0.000213	162	6	-1.951	1.0	1.0	1.0	17849	0	-1.951
ECT2_choSartG00000053614	6	2.9242e-07	1.9277e-06	0.000213	163	6	-1.5382	1.0	1.0	1.0	17848	0	-1.5382
HMBS_choSartG00000022603	6	2.9459e-07	2.203e-06	0.000241	164	6	-1.5771	1.0	1.0	1.0	17847	0	-1.5771
NA_choSartG00000032395	6	2.9672e-07	2.4784e-06	0.000245	165	4	-2.046	0.98075	0.98069	1.0	15245	0	-2.046
PFDN6_choSartG00000070236	6	3.0584e-07	2.4784e-06	0.000245	166	6	-1.4118	1.0	1.0	1.0	17846	0	-1.4118
EMG1_choSartG00000043062	6	3.0829e-07	2.4784e-06	0.000245	167	6	-1.5953	1.0	1.0	1.0	17845	0	-1.5953
CgPICR_013023_choSartG00000028467	6	3.1116e-07	2.4784e-06	0.000245	168	6	-1.8498	1.0	1.0	1.0	17664	0	-1.8498
U2SURP_choSartG00000023866	6	3.1451e-07	2.4784e-06	0.000245	169	6	-1.6737	1.0	1.0	1.0	17844	0	-1.6737
PSMC1_choSartG00000028678	6	3.2574e-07	2.4784e-06	0.000245	170	6	-1.7014	1.0	1.0	1.0	17843	0	-1.7014
MRPL20_choSartG00000000046	6	3.3225e-07	2.4784e-06	0.000245	171	6	-2.3318	1.0	1.0	1.0	17842	0	-2.3318
PLK1_choSartG00000011983	6	3.3312e-07	2.4784e-06	0.000245	172	6	-2.1688	1.0	1.0	1.0	17841	0	-2.1688
PPRC1_choSartG00000068152	6	3.4899e-07	2.4784e-06	0.000245	173	6	-1.2394	1.0	1.0	1.0	17840	0	-1.2394
NGDN_choSartG00000062837	6	3.5058e-07	2.4784e-06	0.000245	174	6	-1.3511	1.0	1.0	1.0	17839	0	-1.3511
DHX30_choSartG00000024407	6	3.5564e-07	2.4784e-06	0.000245	175	6	-1.2872	1.0	1.0	1.0	17838	0	-1.2872
DDX55_choSartG00000021009	6	3.596e-07	2.4784e-06	0.000245	176	6	-1.7564	1.0	1.0	1.0	17837	0	-1.7564
LONP1_choSartG00000027705	6	3.61e-07	2.4784e-06	0.000245	177	6	-1.4483	1.0	1.0	1.0	17836	0	-1.4483
XAB2_choSartG00000020214	6	3.6241e-07	2.4784e-06	0.000245	178	6	-1.5168	1.0	1.0	1.0	17835	0	-1.5168
SMG5_choSartG00000052547	6	3.878e-07	2.4784e-06	0.000245	179	6	-1.6318	1.0	1.0	1.0	17834	0	-1.6318
RPS20_choSartG00000003418	6	4.0995e-07	2.4784e-06	0.000245	180	6	-1.6808	1.0	1.0	1.0	17833	0	-1.6808
MIS18BP1_choSartG00000029531	6	4.1545e-07	2.4784e-06	0.000245	181	6	-1.669	1.0	1.0	1.0	17832	0	-1.669
RAD1_choSartG00000006257	6	4.1775e-07	2.7538e-06	0.000271	182	6	-1.8215	1.0	1.0	1.0	17736	0	-1.8215
ALG1_choSartG00000037641	6	4.2637e-07	3.0292e-06	0.000293	183	6	-1.6693	1.0	1.0	1.0	17831	0	-1.6693
RNPC3_choSartG00000051538	6	4.3259e-07	3.0292e-06	0.000293	184	6	-1.8096	1.0	1.0	1.0	17830	0	-1.8096
MRPL57_choSartG00000062999	6	4.3341e-07	3.0292e-06	0.000293	185	6	-1.6592	1.0	1.0	1.0	17829	0	-1.6592
CgPICR_009653_choSartG00000011260	6	4.4055e-07	3.5799e-06	0.000342	186	6	-1.8277	1.0	1.0	1.0	17827	0	-1.8277
NA_choSartG00000026088	6	4.4262e-07	3.5799e-06	0.000342	187	5	-2.0217	0.10048	0.16619	0.967109	3090	1	-2.0217
POLR1C_choSartG00000057066	6	4.5457e-07	4.1307e-06	0.000369	188	6	-1.5567	1.0	1.0	1.0	17826	0	-1.5567
NA_choSartG00000006196	6	4.568e-07	4.1307e-06	0.000369	189	5	-2.3759	0.9997	0.99969	1.0	16854	0	-2.3759
NA_choSartG00000008992	6	4.5839e-07	4.1307e-06	0.000369	190	5	-2.069	0.99994	0.99995	1.0	17228	0	-2.069
NA_choSartG00000020964	6	4.6223e-07	4.1307e-06	0.000369	191	5	-1.5722	0.99988	0.99989	1.0	17090	0	-1.5722
OBFC1_choSartG00000068053	6	4.6749e-07	4.1307e-06	0.000369	192	6	-1.3273	1.0	1.0	1.0	17825	0	-1.3273
WDR1_choSartG00000060535	6	4.7224e-07	4.1307e-06	0.000369	193	5	-1.8999	0.99077	0.99079	1.0	15703	0	-1.8999
